name,url
Approved Ops 2025 Tournament Companion,https://assets.warhammer-community.com/eng_28-01_kill_team_key_downloads_approved_ops_2025_tournament_companion-ow1mucx9p1-jk7rmolmfe.pdf
Approved Ops: Update Log,https://assets.warhammer-community.com/eng_28-01_kill_team_key_downloads_approved_ops_update_log-uf0kfqnnxr-iim3dkdfyd.pdf
Universal Equipment,https://assets.warhammer-community.com/eng_28-01_kt_universal_equipment-bpc0wzzhk6-vilyhiv7kk.pdf
Core Rules: Update Log,https://assets.warhammer-community.com/eng_19-11_kill_team_core_rules_update_log-kiltwexvpq-yqzwkq1kpu.pdf
Kill Team Lite Rules,https://assets.warhammer-community.com/eng_jul25_kt_lite_rules-jmjv4hdamy-qlsqxdf83p.pdf
Murderwing,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_murderwing-nk5ocpzzgd-qcvchireiu.pdf
Hierotek Circle,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_hierotek_circle-rwmw1qoxht-gzsmrjzixl.pdf
Nemesis Claw,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_nemesis_claw-qjp9jwgrao-orpyxtablk.pdf
Exaction Squad,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_exaction_squad-owtfhxa0gg-n6msfm6mk6.pdf
Pathfinders,https://assets.warhammer-community.com/eng_28-01_kt_teamrules_pathfinders-vpiombenfv-fobu7lopgx.pdf
Hearthkyn Salvagers,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_hearthkyn_salvagers-beync2a0vk-ksvegw5pxs.pdf
Imperial Navy Breachers,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_imperial_navy_breachers-rjrzfyyser-nk3cjyrrbd.pdf
Mandrakes,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_mandrakes-w2j9qwhaxz-oveknnlmoe.pdf
Death Korps,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_death_korps-rqbli7eo8r-wox4jgl7u9.pdf
Farstalker Kinband,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_farstalker_kinband-pylxqicimj-umb4oulmlb.pdf
Wolf Scouts,https://assets.warhammer-community.com/eng_28-01_kt_teamrules_wolf_scouts-7rdhkc4jn4-ttpun6cqc9.pdf
Battleclade,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_battleclade-a02xgiycvd-obzomoweoa.pdf
Hunter Clade,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_hunter_clade-iw4pezoqcm-axjoncdqci.pdf
Deathwatch,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_deathwatch-wngg7m6abd-uc8ksrsq97.pdf
Celestian Insidiants,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_celestian_insidiants-de5ycilovy-6fa4cw56e9.pdf
Scout Squad,https://assets.warhammer-community.com/eng_28-01_kt_teamrules_scout_squad-khwwrygy00-yi4rroozc8.pdf
Kasrkin,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_kasrkin-u0i6ljfum0-hys1lk2hte.pdf
Warpcoven,https://assets.warhammer-community.com/eng_28-01_kt_teamrules_warpcoven-mckukwe3zm-ef6onhmf5i.pdf
Corsair Voidscarred,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_corsair_voidscarred-3war9i1i61-vjohvdpcb9.pdf
Elucidian Starstriders,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_elucidian_starstriders-uan3mmkdni-rcfs5dxxlc.pdf
Angels of Death,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_angels_of_death-g1xsdrmgpd-t1j6hagnfi.pdf
Canoptek Circle,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_canoptek_circle-clwx3r2lli-czur2idyzd.pdf
Ratlings,https://assets.warhammer-community.com/eng_28-01_kt_teamrules_ratlings-loogoevawx-nrcsregyye.pdf
Hand of the Archon,https://assets.warhammer-community.com/eng_28-01_kill_team_team_rules_hand_of_the_archon-ijq4ui6dxc-qnz6k5jaxl.pdf
Plague Marines,https://assets.warhammer-community.com/eng_28-01_kt_teamrules_plague_marines-yldp8quqtd-6rufhbcor4.pdf
Vespid Stingwings,https://assets.warhammer-community.com/eng_17-12_kt_vespid_stingwings_online_rules-i3ca6b0kmu-bwtpd4ssui.pdf
Blades of Khaine,https://assets.warhammer-community.com/eng_17-12_kill_team_team_rules_blades_of_khaine-l2etcmgybu-yovjpcubej.pdf
Sanctifiers,https://assets.warhammer-community.com/eng_17-12_kt_sanctifiers_online_rules-m54vhjfy2h-d8jqj038iw.pdf
Phobos Strike Team,https://assets.warhammer-community.com/eng_17-12_kt_phobos_strike_team_online_rules-6mf867flcl-2xdbnfouex.pdf
Novitiates,https://assets.warhammer-community.com/eng_17-12_kt_novitiates_online_rules-5gldcej9zn-o0lewkbqnu.pdf
Wrecka Krew,https://assets.warhammer-community.com/eng_17-12_killteam_wrecka_krew_online_rules-ffhgdt7oid-iedfbitevh.pdf
Wyrmblade,https://assets.warhammer-community.com/eng_17-12_killteam_wyrmblade_online_rules-nzx8yswdj0-9lcmzodiqo.pdf
Void-Dancer Troupe,https://assets.warhammer-community.com/eng_17-12_kt_void-dancer_troupe_online_rules-d4i6b4nh0j-csne3d6bai.pdf
Gellerpox Infected,https://assets.warhammer-community.com/eng_17-12_kill_team_team_rules_gellerpox_infected-sqrxy2hexz-wnoxt5c43h.pdf
Hernkyn Yaegirs,https://assets.warhammer-community.com/eng_17-12_kt_hernkyn_yaegirs_online_rules-cdk7wwjwo8-1mxatl4eok.pdf
Inquisitorial Agents,https://assets.warhammer-community.com/eng_17-12_inquisitorial_agents_online_rules-wesku2hgog-vuhhp5hqur.pdf
Legionaries,https://assets.warhammer-community.com/eng_17-12_kt_legionaries_online_rules-wdpu85w6pv-8ndq4m5egw.pdf
Chaos Cult,https://assets.warhammer-community.com/eng_17-12_kill_team_team_rules_chaos_cult-x4tsrknbaq-lc1rwd37iy.pdf
Brood Brothers,https://assets.warhammer-community.com/eng_17-12_kill_team_team_rules_brood_brothers-td8kg3vtax-arcsu8rppk.pdf
XV26 Stealth Battlesuits,https://assets.warhammer-community.com/eng_17-12_killteam_xv26_stealth_battlesuits_online_rules-noe604q009-vmw72m7mmx.pdf
Raveners,https://assets.warhammer-community.com/eng_17-12_kt_raveners_online_rules-essk6jkv2r-uoltqtiunq.pdf
Blooded,https://assets.warhammer-community.com/eng_17-12_kill_team_team_rules_blooded-gcyu3htxuq-lflfu8nggp.pdf
Kommandos,https://assets.warhammer-community.com/eng_17-12_kt_kommandos_online_rules-qfbmqhvdy0-s3chxdxxil.pdf
Fellgor Ravagers,https://assets.warhammer-community.com/eng_17-12_kill_team_team_rules_fellgor_ravagers-ssbqiaazxu-15qwa6wxxn.pdf
Tempestus Aquilons,https://assets.warhammer-community.com/eng_17-12_kt_tempestus_aquilons_online_rules-lmtd3jnxje-xwnybrafnr.pdf
Goremongers,https://assets.warhammer-community.com/eng_17-12_kill_team_team_rules_goremongers-7rfudvovux-ld6jeolws2.pdf
